"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
52,"blue-collar","married","basic.9y","","no","no","cellular","jul","mon",128,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
36,"technician","married","high.school","no","yes","no","telephone","may","mon",162,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
35,"management","married","university.degree","no","no","no","cellular","aug","tue",253,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
47,"blue-collar","married","basic.4y","no","yes","yes","telephone","may","tue",386,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
39,"blue-collar","married","basic.9y","","no","no","cellular","may","fri",143,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
34,"technician","married","professional.course","","yes","no","cellular","jul","wed",75,5,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
43,"entrepreneur","married","high.school","","no","yes","cellular","nov","thu",274,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
35,"admin.","single","university.degree","no","no","no","cellular","jul","mon",132,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
41,"admin.","married","university.degree","no","no","no","telephone","may","fri",254,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
34,"admin.","married","high.school","no","no","yes","cellular","may","wed",811,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
27,"services","married","high.school","no","yes","no","cellular","jul","fri",110,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
43,"management","married","university.degree","","no","yes","telephone","may","mon",213,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
49,"management","married","university.degree","no","no","no","cellular","may","fri",20,6,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
41,"housemaid","married","university.degree","","no","no","telephone","jun","fri",235,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
34,"technician","married","basic.9y","no","yes","no","cellular","nov","fri",126,2,999,2,"failure",-3.4,92.649,-30.1,0.716,5017.5,"no"
47,"entrepreneur","married","high.school","no","","","cellular","aug","fri",86,3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
26,"services","single","university.degree","no","yes","no","cellular","jul","wed",142,8,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
35,"self-employed","married","professional.course","no","no","no","telephone","may","fri",268,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
45,"blue-collar","married","basic.4y","no","no","no","telephone","may","thu",219,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
39,"entrepreneur","married","basic.6y","no","yes","no","cellular","sep","tue",531,2,999,0,"nonexistent",-3.4,92.379,-29.8,0.819,5017.5,"yes"
52,"admin.","divorced","university.degree","no","no","no","telephone","jun","tue",245,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
42,"management","divorced","university.degree","no","yes","no","telephone","may","mon",125,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"management","married","university.degree","no","no","no","cellular","aug","wed",204,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
44,"admin.","married","high.school","no","yes","no","cellular","aug","mon",758,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
30,"admin.","single","university.degree","no","no","no","cellular","nov","tue",55,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
30,"self-employed","single","university.degree","no","no","no","cellular","apr","thu",184,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.435,5099.1,"no"
34,"admin.","single","university.degree","no","no","no","cellular","aug","thu",260,6,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
34,"admin.","married","basic.9y","no","yes","no","cellular","apr","mon",401,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
38,"management","divorced","high.school","no","yes","no","cellular","nov","thu",149,3,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
30,"services","single","high.school","","yes","no","telephone","apr","fri",40,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
41,"admin.","divorced","university.degree","no","yes","no","cellular","nov","mon",479,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
37,"admin.","married","university.degree","no","yes","yes","cellular","jun","mon",412,2,999,0,"nonexistent",-2.9,92.963,-40.8,1.266,5076.2,"yes"
43,"management","married","basic.4y","no","yes","no","telephone","may","fri",257,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
30,"blue-collar","married","professional.course","no","no","no","cellular","nov","wed",332,1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
30,"management","married","university.degree","no","yes","no","cellular","jul","wed",280,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
52,"admin.","married","university.degree","no","yes","yes","cellular","nov","tue",79,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
59,"blue-collar","married","basic.4y","","yes","no","telephone","jun","mon",64,1,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
39,"technician","single","professional.course","no","yes","no","cellular","apr","wed",226,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.415,5099.1,"no"
37,"management","married","university.degree","no","no","no","cellular","nov","tue",96,2,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
34,"admin.","single","high.school","no","no","yes","telephone","may","fri",74,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
43,"services","married","university.degree","no","yes","no","cellular","jul","tue",135,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
39,"admin.","married","high.school","no","yes","no","cellular","jul","mon",627,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
30,"blue-collar","single","","no","yes","yes","telephone","may","mon",408,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
55,"blue-collar","married","basic.9y","","no","no","telephone","jun","fri",23,2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
32,"management","divorced","basic.4y","","no","no","telephone","may","wed",396,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
29,"admin.","single","university.degree","no","no","no","cellular","aug","thu",117,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
50,"entrepreneur","married","basic.9y","no","yes","no","telephone","jun","fri",7,12,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
32,"management","single","university.degree","no","no","no","cellular","nov","wed",163,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
56,"entrepreneur","married","","no","yes","no","cellular","jul","thu",129,1,999,0,"nonexistent",-2.9,92.469,-33.6,1.072,5076.2,"no"
35,"unemployed","single","university.degree","no","yes","yes","cellular","nov","tue",98,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
27,"blue-collar","single","basic.9y","no","yes","no","telephone","jun","mon",209,12,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
22,"student","single","high.school","no","no","yes","cellular","jun","mon",563,1,12,2,"failure",-1.7,94.055,-39.8,0.72,4991.6,"yes"
39,"blue-collar","divorced","basic.9y","","no","no","telephone","may","tue",304,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"blue-collar","married","","","yes","yes","telephone","may","fri",129,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
33,"blue-collar","single","basic.9y","no","yes","yes","cellular","may","thu",468,2,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"no"
